P12: SEX BY AGE - Universe: Total population,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010 Census Summary File 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
786 AND 787 Series ZIP Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,78602,78605,78606,78607,78608,78609,78610,78611,78612,78613,78614,78615,78616,78617,78618,78619,78620,78621,78622,78623,78624,78626,78628,78629,78631,78632,78633,78634,78635,78636,78638,78639,78640,78641,78642,78643,78644,78645,78648,78650,78652,78653,78654,78655,78656,78657,78659,78660,78661,78662,78663,78664,78665,78666,78669,78670,78671,78672,78675,78676,78677,78681,78701,78702,78703,78704,78705,78712,78717,78719,78721,78722,78723,78724,78725,78726,78727,78728,78729,78730,78731,78732,78733,78734,78735,78736,78737,78738,78739,78741,78742,78744,78745,78746,78747,78748,78749,78750,78751,78752,78753,78754,78756,78757,78758,78759
Total:,"25,160","4,952","5,205",166,434,"2,012","23,502","12,977","11,457","65,099",456,"1,290","7,092","22,210",324,"3,026","14,367","21,659",296,813,"21,513","25,996","23,727","11,887","2,395",910,"19,349","22,791",149,"3,749","2,005","7,334","42,954","44,295","9,467","6,139","17,081","9,773","7,683","1,599","4,466","16,375","17,553","2,739","2,271","5,509","2,903","68,789",335,"2,268",746,"52,932","35,985","63,836","8,731",168,654,931,188,"12,602",92,"50,606","6,841","21,334","19,690","42,117","31,340",860,"22,538","1,764","11,425","5,901","28,330","21,696","6,083","13,122","26,689","20,299","27,108","7,955","24,614","14,060","8,762","17,655","16,131","6,946","12,081","12,134","16,792","44,935",820,"42,820","55,614","26,928","14,808","40,651","34,449","26,814","14,385","18,064","49,301","15,036","7,194","21,310","44,072","38,891"
  Male:,"13,344","2,474","2,594",84,223,"1,009","11,704","6,214","5,813","31,834",240,634,"3,667","11,985",173,"1,520","7,241","10,779",149,411,"10,315","13,122","11,463","5,923","1,176",482,"9,158","11,152",73,"1,911","1,017","3,511","21,666","22,045","4,763","2,923","8,511","5,010","3,669",821,"2,288","8,141","8,646","1,373","1,159","2,696","1,431","33,565",161,"1,140",376,"25,980","17,620","32,138","4,484",79,331,474,95,"6,094",48,"25,057","4,260","10,887","9,744","21,261","15,990",432,"11,015",908,"5,572","2,986","14,569","11,181","2,988","6,492","13,304","10,015","13,427","3,985","12,014","6,978","4,397","8,943","7,797","3,419","5,965","5,990","8,283","23,969",410,"21,661","27,813","13,319","7,345","19,670","16,863","13,248","7,766","9,778","25,647","7,464","3,606","10,453","23,014","19,048"
    Under 5 years,799,187,140,1,15,34,936,351,451,"2,808",17,33,300,"1,035",7,103,432,881,8,11,577,949,747,518,60,31,284,"1,167",4,107,51,202,"2,117","1,905",304,128,574,237,263,57,128,841,607,95,89,104,89,"2,928",17,61,16,"2,403","1,737","1,629",224,2,14,14,1,289,1,"2,098",42,782,643,"1,194",101,0,"1,074",80,553,151,"1,316","1,163",277,430,888,883,887,259,636,771,271,522,549,239,411,402,797,"1,986",48,"2,257","1,888",614,599,"1,626","1,275",843,295,941,"2,558",705,199,738,"2,066",997
    5 to 9 years,868,197,158,2,10,35,"1,006",415,459,"3,016",12,48,288,"1,078",11,100,542,881,11,22,622,"1,042",802,458,74,27,421,"1,218",3,130,78,210,"2,215","2,179",376,168,609,260,301,60,125,752,604,102,97,103,75,"3,255",15,66,25,"2,381","1,912","1,470",256,1,19,12,5,293,8,"2,571",38,670,581,882,97,0,"1,012",76,529,91,"1,049","1,168",307,504,694,607,761,302,652,949,406,534,545,223,522,605,957,"1,422",31,"1,999","1,477",998,589,"1,384","1,279",884,193,714,"2,142",510,147,570,"1,625",980
    10 to 14 years,929,202,189,2,12,44,"1,020",411,501,"2,989",11,46,354,"1,033",10,140,674,957,13,18,655,"1,050",932,447,82,22,434,"1,095",3,138,52,188,"2,065","2,066",494,174,731,336,272,65,104,744,621,99,105,102,89,"3,021",11,82,24,"2,207","1,570","1,591",274,6,22,14,4,413,2,"2,379",20,608,470,713,40,0,900,82,442,90,813,"1,030",323,491,640,510,716,312,564,705,481,628,482,193,493,600,754,"1,084",30,"1,838","1,436","1,161",596,"1,271","1,048",935,136,478,"1,698",431,104,419,"1,152",965
    15 to 17 years,539,107,108,3,14,23,549,254,260,"1,636",8,32,175,619,5,69,390,526,5,10,403,605,546,255,62,10,231,526,2,89,43,106,"1,092","1,095",276,100,440,188,148,35,72,345,371,74,70,63,62,"1,835",8,47,8,"1,256",811,"1,159",162,2,15,11,3,244,2,"1,178",8,366,259,451,50,3,469,48,245,43,497,530,165,260,385,291,500,132,316,264,288,387,254,131,271,293,395,618,14,"1,095",858,834,294,719,624,582,103,272,939,228,67,238,675,550
    18 and 19 years,304,49,55,0,2,7,296,168,164,750,8,10,119,427,3,18,157,303,5,10,212,512,247,152,21,15,109,235,1,39,21,59,561,576,111,54,233,85,110,20,52,176,219,33,38,41,39,875,5,32,7,691,372,"2,739",77,1,8,9,3,139,3,591,62,269,109,592,"3,945",323,190,30,163,33,343,336,83,201,223,223,260,46,184,64,104,180,117,84,133,82,141,"1,025",10,756,654,280,197,429,316,284,177,308,715,153,47,188,665,277
    20 years,147,23,20,1,2,7,130,90,65,322,4,8,46,219,2,5,55,127,2,4,77,296,113,86,7,7,35,85,0,17,7,30,234,177,37,21,108,37,47,7,22,90,131,12,21,12,14,340,5,15,2,290,155,"1,859",25,0,5,0,0,39,0,229,55,175,57,351,"2,732",83,65,19,88,49,205,192,41,93,100,139,157,13,136,24,28,67,56,26,34,38,47,"1,026",6,383,396,72,78,218,131,114,223,164,436,87,23,101,379,149
    21 years,142,16,15,0,0,7,146,64,58,277,2,5,46,185,2,8,56,126,2,4,78,283,72,84,5,6,32,111,1,14,11,30,214,189,37,12,116,29,41,7,25,89,88,13,8,7,7,320,2,12,1,307,166,"2,025",34,0,2,0,0,40,1,179,72,180,73,333,"2,493",16,77,9,80,58,253,179,41,116,132,141,187,19,152,24,41,79,65,32,39,27,31,"1,230",4,374,443,76,114,289,138,111,454,224,483,116,58,103,401,144
